T	128	257668	563334	4055839	
T	129	12	26	38	
T	129	279213	603753	4089989	
T	130	12	26	38	
T	130	270561	586590	4134156	
T	131	12	26	38	
T	131	257924	562635	4180675	
T	132	12	26	38	
T	132	266120	579416	4200061	
T	133	12	26	38	
T	133	268579	582411	4170478	
T	134	12	26	38	
T	134	266511	576873	4127495	
T	135	12	26	38	
T	135	269792	583036	4074123	
T	136	12	26	38	
T	136	270481	577735	4010319	
T	137	12	26	38	
T	137	281774	597530	3971456	
T	138	12	26	38	
T	138	295272	621135	3955924	
T	139	12	26	38	
T	139	276728	587357	3958309	
T	140	12	26	38	
T	140	270550	579401	4008018	
T	141	12	26	38	
T	141	275791	589699	4055363	
T	142	12	26	38	
T	142	282226	603679	4077409	
T	143	12	26	38	
T	143	278516	593171	4066551	
T	144	12	26	38	
T	144	275211	588153	4025589	
T	145	12	26	38	
T	145	277907	590692	3955630	
T	146	12	26	38	
T	146	275636	584337	3895986	
T	147	12	26	38	
T	147	265363	564493	3850033	
T	148	12	26	38	
T	148	266552	564329	3813356	
T	149	12	26	38	
T	149	271128	572234	3810894	
T	150	12	26	38	
T	150	297350	632463	3847323	
G	0	12	26	38	
G	0	482225	1314787	7603617	
G	1	12	26	38	
G	1	83243	214264	3452967	
G	2	12	26	38	
G	2	75620	195922	3487700	
G	3	12	26	38	
G	3	48159	125761	2270264	
G	4	12	26	38	
G	4	59569	156494	2507140	
G	5	12	26	38	
G	5	104182	287053	5434909	
G	6	12	26	38	
G	6	105138	272549	4472415	
G	7	12	26	38	
G	7	95998	250530	4531234	
G	8	12	26	38	
G	8	75643	198418	3940544	
G	9	12	26	38	
G	9	54523	142020	2459836	
G	10	12	26	38	
G	10	117816	322510	6670494	
G	11	12	26	38	
G	11	77873	199179	3380809	
G	12	12	26	38	
G	12	94950	252954	4942326	
G	13	12	26	38	
G	13	72667	186849	3584528	
G	14	12	26	38	
G	14	92313	239906	4514001	
G	15	12	26	38	
G	15	91260	234429	4206874	
G	16	12	26	38	
G	16	84619	220828	3891814	
G	17	12	26	38	
G	17	89931	230873	4010140	
G	18	12	26	38	
G	18	87933	229838	4107516	
G	19	12	26	38	
G	19	87178	227874	4132988	
G	20	12	26	38	
G	20	86115	225481	4058819	
G	21	12	26	38	
G	21	88142	231701	4122018	
G	22	12	26	38	
G	22	89589	235506	4113590	
G	23	12	26	38	
G	23	97240	251409	4096952	
G	24	12	26	38	
G	24	97726	255654	4119620	
G	25	12	26	38	
G	25	95046	245006	4106755	
G	26	12	26	38	
G	26	97599	253753	4106785	
G	27	12	26	38	
G	27	98951	253629	4127596	
G	28	12	26	38	
G	28	96942	250172	4107911	
G	29	12	26	38	
G	29	100396	253917	4102271	
G	30	12	26	38	
G	30	99079	252258	4121740	
G	31	12	26	38	
G	31	100535	257579	4119274	
G	32	12	26	38	
G	32	100424	257058	4110562	
G	33	12	26	38	
G	33	100159	257430	4120078	
G	34	12	26	38	
G	34	102047	263089	4119707	
G	35	12	26	38	
G	35	101655	261916	4109557	
G	36	12	26	38	
G	36	102208	262928	4119408	
G	37	12	26	38	
G	37	102344	263679	4105042	
G	38	12	26	38	
G	38	101569	260832	4068787	
G	39	12	26	38	
G	39	100607	258967	4082207	
G	40	12	26	38	
G	40	102020	262751	4075528	
G	41	12	26	38	
G	41	102579	263311	4067355	
G	42	12	26	38	
